14.104,16.183,43.942,15.164,43.138,6.2857,41.717,14.042,34.636,6.0773,14.367,33.784,19.745,15.105,38.307,34.749,19.981,42.756,8.6216,36.028,31.456,12.571,34.475,13.682,20.23,11.568,38.782,11.467,27.277,16.413,
9.1037,11.183,38.942,10.164,38.138,8.0828,36.717,9.0418,29.636,8.715,11.546,28.784,14.745,10.105,33.307,29.749,14.981,37.756,11.133,31.028,26.456,12.742,29.475,11.699,16.106,11.414,33.782,12.044,22.277,11.413,
5.0835,7.0522,33.942,5.7654,33.138,8.879,31.717,8.139,24.636,13.715,8.8834,23.784,12.799,14.088,28.307,32.145,9.9806,32.756,13.515,26.028,21.456,12.865,24.475,10.082,14.645,11.278,28.782,12.291,17.277,6.9901,
10.084,12.052,28.942,4.4364,28.138,9.1951,26.717,7.3992,19.636,15.447,13.883,28.784,16.413,17.422,23.307,37.145,13.184,27.756,15.635,30.037,16.456,14.495,19.475,15.082,12.642,11.523,23.782,13.509,12.87,7.7161,
15.084,17.052,23.942,9.4364,33.138,14.195,21.717,12.399,20.664,16.236,18.233,23.827,20.187,16.875,18.307,32.145,11.461,22.756,15.239,25.037,21.238,14.347,14.475,17.471,16.021,13.81,18.782,13.552,9.1392,12.716,
17.982,14.921,18.942,14.436,28.708,17.862,26.717,17.399,15.88,15.49,15.746,18.827,20.424,11.875,16.996,27.145,11.254,24.006,13.87,23.235,16.238,12.34,18.11,13.734,15.925,14.854,19.572,13.6,7.7298,17.355,
16.829,10.069,13.942,13.579,23.708,14.427,29.865,13.667,18.909,13.053,10.746,20.46,17.244,14.969,15.278,22.339,11.318,28.176,12.709,24.118,21.238,10.825,14.549,11.861,13.892,14.242,20.231,13.57,11.026,12.355,
14.366,14.256,11.47,8.5793,18.708,11.936,24.865,10.519,13.909,11.499,13.573,18.001,16.458,16.114,13.993,17.339,11.768,25.175,12.994,20.888,25.607,15.825,10.602,15.004,14.389,12.406,22.136,13.783,16.026,9.5594,
17.238,16.793,16.47,11.5,13.708,11.641,19.865,9.2821,9.6986,16.379,16.346,19.668,19.341,14.225,17.48,12.339,11.08,20.175,15.001,16.197,20.607,12.072,15.602,16.783,16.703,10.714,17.136,13.959,14.913,11.491,
15.389,11.793,17.609,10.947,9.7042,14.128,16.186,10.245,14.699,16.298,13.741,18.048,17.562,12.327,13.102,17.339,9.932,22.381,13.935,21.197,15.607,13.304,18.129,11.783,15.825,13.994,20.919,13.798,10.71,12.405,
15.682,8.3474,16.971,15.308,14.704,15.924,13.369,15.245,17.637,14.547,11.89,16.09,18.962,12.6,16.076,19.856,13.651,25.73,12.925,26.197,10.63,14.727,13.927,11.476,11.282,11.661,25.919,13.8,8.7948,12.701,
18.109,13.347,14.16,16.863,17.88,14.341,18.369,11.607,19.1,14.115,13.797,14.213,18.957,13.99,18.904,14.856,14.296,20.73,14.746,31.197,14.652,13.46,11.01,16.038,13.261,13.642,20.919,13.828,8.6884,8.9792,
14.807,17.84,11.848,11.863,12.88,12.47,23.369,9.1614,16.266,17.075,15.512,14.343,13.957,14.961,19.597,10.604,12.268,15.73,15.117,26.197,18.107,12.715,16.01,11.494,15.207,12.161,15.919,13.447,9.476,13.445,
11.21,12.84,14.913,10.805,9.5615,11.237,25.722,14.161,15.524,15.029,13.956,14.279,16.675,12.154,18.214,14.496,9.1554,12.465,11.337,21.382,13.107,14.29,15.316,8.4259,15.213,12.129,19.418,13.603,14.476,16.573,
12.878,11.046,16.704,15.644,8.8185,14.34,26.849,13.371,16.402,12.226,12.628,15.799,15.436,15.171,13.214,18.658,10.511,17.465,16.214,26.382,9.6269,13.211,10.807,13.426,13.534,15.371,21.628,13.99,10.135,15.496,
17.43,15.62,14.088,13.245,10.647,16.132,21.849,8.9369,14.097,12.228,12.35,16.158,17.791,15.321,15.215,15.955,14.705,22.465,16.039,21.382,11.882,13.332,13.844,18.426,16.575,16.267,19.446,16.267,8.1796,13.811,
15.912,18.592,13.88,15.784,15.647,15.877,16.849,13.937,17.601,17.228,17.35,16.438,16.426,16.941,18.177,13.903,18.689,21.646,13.21,26.382,15.618,16.595,17.3,13.426,18.176,11.267,18.975,13.06,8.2332,8.811,
13.114,18.722,18.11,16.436,10.647,11.096,12.593,15.685,19.075,19.297,17.401,16.361,14.929,14.573,17.868,16.027,20.191,17.338,13.566,31.382,15.658,15.709,18.575,9.8994,15.257,12.986,17.663,13.705,13.233,7.6775,
16.065,13.722,17.571,11.436,8.8842,15.482,17.593,10.685,14.075,19.648,16.07,15.933,15.978,14.385,14.937,17.852,17.313,22.338,16.716,30.108,13.887,11.786,17.226,10.995,14.167,15.291,16.302,15.913,18.233,12.678,
16.745,12.412,13.126,10.554,13.884,16.928,22.593,9.6876,16.646,14.648,11.07,15.938,15.592,14.377,13.618,14.678,15.303,22.46,14.122,25.108,11.766,16.786,15.441,15.498,14.507,16.353,21.302,16.592,20.009,13.875,
16.768,16.991,13.446,11.483,16.654,12.943,22.701,14.688,20.281,13.491,16.07,16.436,14.383,16.675,18.381,15.406,17.015,17.46,15.029,30.108,11.969,14.935,17.635,17.18,17.443,14.865,20.332,15.565,15.009,10.942,
15.581,17.607,15.19,14.557,11.654,13,23.829,17.31,15.281,15.149,17.727,15.955,14.481,12.169,19.054,16.9,18.576,16.942,14.844,35.108,16.969,13.434,18.756,16.539,16.765,12.921,16.174,11.653,10.009,10.548,
