time(s),ADRC y best
1.55,0.956416
1.555,0.958174
1.56,0.959919
1.565,0.961652
1.57,0.963373
1.575,0.965082
1.58,0.966779
1.585,0.968463
1.59,0.970135
1.595,0.971794
1.6,0.973441
1.605,0.975075
1.61,0.976696
1.615,0.978305
1.62,0.9799
1.625,0.981482
1.63,0.983052
1.635,0.984608
1.64,0.986151
1.645,0.98768
1.65,0.989196
1.655,0.990698
1.66,0.992187
1.665,0.993662
1.67,0.995124
1.675,0.996571
1.68,0.998005
1.685,0.999425
1.69,1.00083
1.695,1.00222
1.7,1.0036
1.705,1.00496
1.71,1.00631
1.715,1.00764
1.72,1.00896
1.725,1.01026
1.73,1.01155
1.735,1.01283
1.74,1.01408
1.745,1.01532
1.75,1.01654
1.755,1.01774
1.76,1.01893
1.765,1.0201
1.77,1.02125
1.775,1.02238
1.78,1.02349
1.785,1.02459
1.79,1.02566
1.795,1.02672
1.8,1.02777
1.805,1.02879
1.81,1.0298
1.815,1.03079
1.82,1.03176
1.825,1.03272
1.83,1.03366
1.835,1.03458
1.84,1.03548
1.845,1.03637
1.85,1.03724
1.855,1.03809
1.86,1.03893
1.865,1.03975
1.87,1.04055
1.875,1.04134
1.88,1.0421
1.885,1.04286
1.89,1.04359
1.895,1.04431
1.9,1.04501
1.905,1.0457
1.91,1.04636
1.915,1.04702
1.92,1.04765
1.925,1.04827
1.93,1.04888
1.935,1.04947
1.94,1.05004
1.945,1.0506
1.95,1.05114
1.955,1.05166
1.96,1.05217
1.965,1.05267
1.97,1.05315
1.975,1.05361
1.98,1.05407
1.985,1.05451
1.99,1.05493
1.995,1.05535
2,1.05575
2.005,1.05614
2.01,1.05651
2.015,1.05688
2.02,1.05723
2.025,1.05757
2.03,1.0579
2.035,1.05821
2.04,1.05852
2.045,1.05881
2.05,1.05909
2.055,1.05936
2.06,1.05961
2.065,1.05986
2.07,1.06009
2.075,1.06032
2.08,1.06053
2.085,1.06073
2.09,1.06092
2.095,1.0611
2.1,1.06128
2.105,1.06144
2.11,1.06159
2.115,1.06173
2.12,1.06186
2.125,1.06198
2.13,1.06209
2.135,1.06219
2.14,1.06228
2.145,1.06236
2.15,1.06244
2.155,1.0625
2.16,1.06256
2.165,1.0626
2.17,1.06264
2.175,1.06267
2.18,1.06269
2.185,1.0627
2.19,1.0627
2.195,1.0627
2.2,1.06268
2.205,1.06266
2.21,1.06263
2.215,1.0626
2.22,1.06255
2.225,1.0625
2.23,1.06244
2.235,1.06237
2.24,1.06229
2.245,1.06221
2.25,1.06212
2.255,1.06202
2.26,1.06192
2.265,1.0618
2.27,1.06169
2.275,1.06156
2.28,1.06143
2.285,1.06129
2.29,1.06114
2.295,1.06099
2.3,1.06083
2.305,1.06067
2.31,1.0605
2.315,1.06032
2.32,1.06013
2.325,1.05995
2.33,1.05975
2.335,1.05955
2.34,1.05934
2.345,1.05913
2.35,1.05891
2.355,1.05869
2.36,1.05846
2.365,1.05823
2.37,1.05799
2.375,1.05774
