time(s),ADRC u
0,0
0.005,0
0.01,12.6193
0.015,4.43974
0.02,11.9489
0.025,5.34238
0.03,12.2128
0.035,6.41317
0.04,13.4705
0.045,7.47399
0.05,15.8202
0.055,8.20406
0.06,19.6371
0.065,7.73567
0.07,24.9105
0.075,5.02908
0.08,32.4602
0.085,1.77714
0.09,8.49981
0.095,1.5704
0.1,2.53778
0.105,3.69157
0.11,4.47341
0.115,4.79204
0.12,5.0284
0.125,5.1463
0.13,5.1695
0.135,5.10445
0.14,4.96099
0.145,4.74914
0.15,4.48358
0.155,4.2645
0.16,3.97111
0.165,3.54294
0.17,4.01172
0.175,13.2191
0.18,6.82773
0.185,9.41467
0.19,7.01993
0.195,6.66887
0.2,5.58365
0.205,4.99922
0.21,4.28625
0.215,2.83921
0.22,1.80933
0.225,1.19872
0.23,0.588769
0.235,0.100438
0.24,-0.340758
0.245,-0.701818
0.25,-1.0141
0.255,-1.26339
0.26,-1.46932
0.265,-1.62365
0.27,-1.74172
0.275,-1.81748
0.28,-1.86428
0.285,-1.87691
0.29,-1.86753
0.295,-1.83129
0.3,-1.77931
0.305,-1.70701
0.31,-1.62443
0.315,-1.5273
0.32,-1.42454
0.325,-1.3122
0.33,-1.19805
0.335,-1.07848
0.34,-0.960165
0.345,-0.839816
0.35,-0.723093
0.355,-0.606961
0.36,-0.496209
0.365,-0.388006
0.37,-0.28639
0.375,-0.188669
0.38,-0.098273
0.385,-0.0126166
0.39,0.0653725
0.395,0.138209
0.4,0.203354
0.405,0.263283
0.41,0.315754
0.415,0.363193
0.42,0.403609
0.425,0.439381
0.43,0.468695
0.435,0.493891
0.44,0.513279
0.445,0.529162
0.45,0.539926
0.455,0.547839
0.46,0.551331
0.465,0.552627
0.47,0.550176
0.475,0.546167
0.48,0.539044
0.485,0.530947
0.49,0.520307
0.495,0.509223
0.5,0.496102
0.505,0.483
0.51,0.468288
0.515,0.453989
0.52,0.438434
0.525,0.423617
0.53,0.407828
0.535,0.393034
0.54,0.377489
0.545,0.363126
0.55,0.348181
0.555,0.334552
0.56,0.320454
0.565,0.307765
0.57,0.294671
0.575,0.283035
0.58,0.271032
0.585,0.260499
0.59,0.249604
0.595,0.240171
0.6,0.23036
0.605,0.22198
0.61,0.213189
0.615,0.205784
0.62,0.197928
0.625,0.191403
0.63,0.184383
0.635,0.178631
0.64,0.172331
0.645,0.16724
0.65,0.161551
0.655,0.157009
0.66,0.151826
0.665,0.147729
0.67,0.14295
0.675,0.139201
0.68,0.134727
0.685,0.131237
0.69,0.126992
0.695,0.123684
0.7,0.119596
0.705,0.116406
0.71,0.112415
0.715,0.109287
0.72,0.105346
0.725,0.102243
0.73,0.0983143
0.735,0.0952015
0.74,0.0912585
0.745,0.088109
0.75,0.0841314
0.755,0.0809312
0.76,0.0769036
0.765,0.0736462
0.77,0.0695673
0.775,0.0662487
0.78,0.0621096
0.785,0.0587272
0.79,0.0545352
0.795,0.0510934
0.8,0.0468515
0.805,0.0433551
0.81,0.0390738
0.815,0.035531
0.82,0.0312114
0.825,0.0276307
0.83,0.0232859
0.835,0.0196756
0.84,0.015313
0.845,0.0116824
0.85,0.00730628
0.855,0.00366175
0.86,-0.000717014
0.865,-0.00436461
0.87,-0.00873789
0.875,-0.0123879
0.88,-0.0167545
0.885,-0.020397
0.89,-0.0247473
0.895,-0.0283816
0.9,-0.0327134
0.905,-0.0363324
0.91,-0.0406437
0.915,-0.0442451
0.92,-0.04853
0.925,-0.0521113
0.93,-0.0563708
0.935,-0.0599343
0.94,-0.0641656
0.945,-0.0677087
0.95,-0.0719145
0.955,-0.0754347
0.96,-0.0796136
0.965,-0.0831134
0.97,-0.087263
0.975,-0.0907411
0.98,-0.0948679
0.985,-0.0983268
0.99,-0.102426
0.995,-0.105865
1,-0.109938
1.005,-0.11336
1.01,-0.117411
1.015,-0.120818
1.02,-0.124847
1.025,-0.128234
1.03,-0.132243
1.035,-0.135618
1.04,-0.139606
1.045,-0.142968
1.05,-0.146939
1.055,-0.150287
1.06,-0.15424
1.065,-0.157576
1.07,-0.161514
1.075,-0.164839
1.08,-0.168761
1.085,-0.175727
1.09,-0.180913
1.095,-0.184062
1.1,-0.18796
1.105,-0.191354
1.11,-0.195399
1.115,-0.198941
1.12,-0.203113
1.125,-0.206779
1.13,-0.211051
1.135,-0.214813
1.14,-0.219164
1.145,-0.223002
1.15,-0.22741
1.155,-0.231301
1.16,-0.235742
1.165,-0.239664
1.17,-0.244126
1.175,-0.248067
1.18,-0.252528
1.185,-0.256474
1.19,-0.260926
1.195,-0.264863
1.2,-0.269294
1.205,-0.273216
1.21,-0.277621
1.215,-0.28152
1.22,-0.285894
1.225,-0.289767
1.23,-0.294103
1.235,-0.297944
1.24,-0.302244
1.245,-0.306053
1.25,-0.310312
1.255,-0.314091
1.26,-0.31831
1.265,-0.322056
1.27,-0.326235
1.275,-0.32995
1.28,-0.334094
1.285,-0.33778
1.29,-0.341886
1.295,-0.345545
1.3,-0.349618
1.305,-0.35325
1.31,-0.357291
1.315,-0.360899
1.32,-0.364912
1.325,-0.368501
1.33,-0.372486
1.335,-0.376054
1.34,-0.380012
1.345,-0.383562
1.35,-0.387496
1.355,-0.391029
1.36,-0.394942
1.365,-0.398458
1.37,-0.402348
1.375,-0.405849
1.38,-0.409718
1.385,-0.413207
1.39,-0.417055
1.395,-0.420531
1.4,-0.42436
1.405,-0.42978
1.41,-0.435719
1.415,-0.440177
1.42,-0.444247
1.425,-0.447896
1.43,-0.45168
1.435,-0.455288
1.44,-0.459144
1.445,-0.46287
1.45,-0.466853
1.455,-0.470702
1.46,-0.474793
1.465,-0.47873
1.47,-0.482895
1.475,-0.486893
1.48,-0.4911
1.485,-0.495125
1.49,-0.499345
1.495,-0.503372
1.5,-0.507583
1.505,-0.51159
1.51,-0.515776
1.515,-0.519749
1.52,-0.523892
1.525,-0.527819
1.53,-0.531912
1.535,-0.535786
1.54,-0.539824
1.545,-0.543638
1.55,-0.547616
1.555,-0.551369
1.56,-0.555285
1.565,-0.558975
1.57,-0.562826
1.575,-0.566451
1.58,-0.570239
1.585,-0.573808
1.59,-0.577538
1.595,-0.581045
1.6,-0.584717
1.605,-0.588168
1.61,-0.591786
1.615,-0.595187
1.62,-0.598754
1.625,-0.6021
1.63,-0.605612
1.635,-0.608908
1.64,-0.612375
1.645,-0.615626
1.65,-0.619046
1.655,-0.622252
1.66,-0.625628
1.665,-0.62879
1.67,-0.632119
1.675,-0.635233
1.68,-0.638522
1.685,-0.641598
1.69,-0.644847
1.695,-0.64788
1.7,-0.651087
1.705,-0.65408
1.71,-0.657246
1.715,-0.660201
1.72,-0.663327
1.725,-0.666244
1.73,-0.669332
1.735,-0.672206
1.74,-0.675257
1.745,-0.678094
1.75,-0.681106
1.755,-0.683907
1.76,-0.686882
1.765,-0.689642
1.77,-0.692575
1.775,-0.695298
1.78,-0.698193
1.785,-0.700879
1.79,-0.703736
1.795,-0.70638
1.8,-0.709202
1.805,-0.711811
1.81,-0.714596
1.815,-0.717165
1.82,-0.71991
1.825,-0.722442
1.83,-0.725149
1.835,-0.727645
1.84,-0.730315
1.845,-0.732771
1.85,-0.735402
1.855,-0.737821
1.86,-0.740415
1.865,-0.742794
1.87,-0.745348
1.875,-0.747691
1.88,-0.750208
1.885,-0.752511
1.89,-0.754989
1.895,-0.757255
1.9,-0.759696
1.905,-0.761924
1.91,-0.764325
1.915,-0.766517
1.92,-0.768881
1.925,-0.771036
1.93,-0.773369
1.935,-0.775487
1.94,-0.777783
1.945,-0.779866
1.95,-0.782125
1.955,-0.784173
1.96,-0.786397
1.965,-0.788407
1.97,-0.790593
1.975,-0.792568
1.98,-0.794717
1.985,-0.796659
1.99,-0.798773
1.995,-0.800675
2,-0.802756
2.005,-0.804625
2.01,-0.806671
2.015,-0.808506
2.02,-0.810518
2.025,-0.812316
2.03,-0.81429
2.035,-0.816052
2.04,-0.817995
2.045,-0.819726
2.05,-0.821633
2.055,-0.823331
2.06,-0.825204
2.065,-0.826868
2.07,-0.828709
2.075,-0.830342
2.08,-0.832148
2.085,-0.833747
2.09,-0.835523
2.095,-0.83709
2.1,-0.838832
2.105,-0.840365
2.11,-0.842076
2.115,-0.843578
2.12,-0.845254
2.125,-0.846721
2.13,-0.848366
2.135,-0.8498
2.14,-0.851413
2.145,-0.852818
2.15,-0.854403
2.155,-0.855776
2.16,-0.85733
2.165,-0.858671
2.17,-0.860193
2.175,-0.861505
2.18,-0.862996
2.185,-0.86428
2.19,-0.865741
2.195,-0.866992
2.2,-0.868421
2.205,-0.869642
2.21,-0.87104
2.215,-0.872231
2.22,-0.873601
2.225,-0.874763
2.23,-0.876106
2.235,-0.877241
2.24,-0.878553
2.245,-0.879656
2.25,-0.880939
2.255,-0.882017
2.26,-0.883273
2.265,-0.884322
2.27,-0.885549
2.275,-0.886571
2.28,-0.887772
2.285,-0.888763
2.29,-0.889933
2.295,-0.890896
2.3,-0.892041
2.305,-0.892978
2.31,-0.894093
2.315,-0.895006
2.32,-0.896097
2.325,-0.896982
2.33,-0.898047
2.335,-0.898905
2.34,-0.899943
2.345,-0.900774
2.35,-0.901789
2.355,-0.902598
2.36,-0.903587
2.365,-0.90437
2.37,-0.905335
2.375,-0.906093
2.38,-0.90703
2.385,-0.907764
2.39,-0.908677
2.395,-0.909383
2.4,-0.910273
2.405,-0.910957
2.41,-0.911822
2.415,-0.912481
2.42,-0.913324
2.425,-0.913959
2.43,-0.914774
2.435,-0.915385
2.44,-0.91618
2.445,-0.916772
2.45,-0.917544
2.455,-0.918108
2.46,-0.918857
2.465,-0.919403
2.47,-0.920128
2.475,-0.920647
2.48,-0.921352
2.485,-0.921852
2.49,-0.922534
2.495,-0.923012
2.5,-0.923674
2.505,-0.924129
2.51,-0.92477
2.515,-0.925206
2.52,-0.925826
2.525,-0.926242
2.53,-0.926839
2.535,-0.927234
2.54,-0.927811
2.545,-0.928183
2.55,-0.928738
2.555,-0.92909
2.56,-0.929628
2.565,-0.929962
2.57,-0.930477
2.575,-0.930791
2.58,-0.931292
2.585,-0.931587
2.59,-0.932065
2.595,-0.932344
2.6,-0.932806
2.605,-0.933066
2.61,-0.933509
2.615,-0.933751
2.62,-0.934175
2.625,-0.934397
2.63,-0.934803
2.635,-0.935006
2.64,-0.935393
2.645,-0.935577
2.65,-0.935947
2.655,-0.936118
2.66,-0.936473
2.665,-0.936626
2.67,-0.936962
2.675,-0.937096
2.68,-0.937416
2.685,-0.937537
2.69,-0.937841
2.695,-0.937945
2.7,-0.938236
2.705,-0.938325
2.71,-0.938597
2.715,-0.938665
2.72,-0.93892
2.725,-0.938977
2.73,-0.939219
2.735,-0.93926
2.74,-0.939486
2.745,-0.93951
2.75,-0.939722
2.755,-0.939734
2.76,-0.939932
2.765,-0.939927
2.77,-0.94011
2.775,-0.940092
2.78,-0.940262
2.785,-0.940232
2.79,-0.940387
2.795,-0.940341
2.8,-0.94048
2.805,-0.940421
2.81,-0.940549
2.815,-0.940476
2.82,-0.940591
2.825,-0.940506
2.83,-0.940606
2.835,-0.940506
2.84,-0.940596
2.845,-0.940486
2.85,-0.940562
2.855,-0.940438
2.86,-0.940501
2.865,-0.940364
2.87,-0.940417
2.875,-0.940272
2.88,-0.940313
2.885,-0.940157
2.89,-0.940189
2.895,-0.940021
2.9,-0.94004
2.905,-0.93986
2.91,-0.939869
2.915,-0.93968
2.92,-0.939677
2.925,-0.939477
2.93,-0.939463
2.935,-0.939253
2.94,-0.939231
2.945,-0.939011
2.95,-0.938979
2.955,-0.93875
2.96,-0.938706
2.965,-0.938463
2.97,-0.938407
